"show_number","round","value","category","clue","answer","air_date"
1,1,100,"LAKES & RIVERS","River mentioned most often in the Bible","the Jordan","1984-09-10"
1,1,100,"INVENTIONS","Marconi's wonderful wireless","the radio","1984-09-10"
1,1,100,"ANIMALS","These rodents first got to America by stowing away on ships","rats","1984-09-10"
1,1,100,"FOREIGN CUISINE","The \"coq\" in coq au vin","chicken","1984-09-10"
1,1,100,"ACTORS & ROLES","Video in which Michael Jackson plays a werewolf & a zombie","\"Thriller\"","1984-09-10"
1,1,200,"LAKES & RIVERS","Scottish word for lake","loch","1984-09-10"
1,1,200,"INVENTIONS","In 1869 an American minister created this \"oriental\" transportation","the rickshaw","1984-09-10"
1,1,200,"ANIMALS","There are about 40,000 muscles & tendons in this part of an elephant's body","the trunk","1984-09-10"
1,1,200,"FOREIGN CUISINE","A British variety is called \"bangers\", a Mexican variety, \"chorizo\"","sausage","1984-09-10"
1,1,200,"ACTORS & ROLES","2 \"Saturday Night\" alumni who tried \"Trading Places\"","Dan Aykroyd & Eddie Murphy","1984-09-10"
1,1,800,"LAKES & RIVERS","River in <a href=\"http://www.j-archive.com/media/1984-09-10_J_14.mp3\">this</a> famous song:","the Volga River","1984-09-10"
1,1,300,"INVENTIONS","A 1920's hunting trip to Canada inspired Birdseye's food preserving method","freezing","1984-09-10"
1,1,300,"ANIMALS","When husbands \"pop\" for an ermine coat, they're actually buying this fur","weasel","1984-09-10"
1,1,300,"FOREIGN CUISINE","Jewish crepe filled with cheese","a blintz","1984-09-10"
1,1,300,"ACTORS & ROLES","He may \"Never Say Never Again\" when asked to be Bond","Sean Connery","1984-09-10"
1,1,400,"LAKES & RIVERS","American river only 33 miles shorter than the Mississippi","the Missouri","1984-09-10"
1,1,400,"INVENTIONS","This fastener gets its name from a brand of galoshes it was used on","the zipper","1984-09-10"
1,1,400,"ANIMALS","Close relative of the pig, though its name means \"river horse\"","the hippopotamus","1984-09-10"
1,1,400,"FOREIGN CUISINE","French for a toothsome cut of beef served to a twosome","Châteaubriand","1984-09-10"
1,1,400,"ACTORS & ROLES","The blonde preferred in the film \"Gentlemen Prefer Blondes\"","Marilyn Monroe","1984-09-10"
1,1,500,"LAKES & RIVERS","World's largest lake, nearly 5 times as big as Superior","the Caspian Sea","1984-09-10"
1,1,500,"ANIMALS","If this species of hybrid's parents were reversed, you'd get a hinny","a mule","1984-09-10"
1,1,500,"ACTORS & ROLES","Sam Shepard played this barrier breaker in \"The Right Stuff\"","Colonel Chuck Yeager","1984-09-10"
1,2,200,"THE BIBLE","When \"Joshua Fit The Battle Of Jericho\", these took a tumble","the walls","1984-09-10"
1,2,200,"'50'S TV","Occupation of Richard Diamond, Peter Gunn & Mike Hammer","private eyes (or private detectives)","1984-09-10"
1,2,200,"NATIONAL LANDMARKS","She came from France to harbor America's freedom","the Statue of Liberty","1984-09-10"
1,2,200,"NOTORIOUS","It was probably a lyre, not a fiddle, if he played it while Rome burned","Nero","1984-09-10"
1,2,200,"4-LETTER WORDS","Pulled the trigger or what's in a jigger","shot","1984-09-10"
1,2,400,"THE BIBLE","His price was 30 pieces of silver","Judas","1984-09-10"
1,2,400,"'50'S TV","She was \"Our Miss Brooks\"","Eve Arden","1984-09-10"
1,2,400,"NATIONAL LANDMARKS","When he was home, George Washington slept here","Mount Vernon","1984-09-10"
1,2,400,"NOTORIOUS","His book, translated as \"My Struggle\", outlined plans to conquer Europe","Adolf Hitler","1984-09-10"
1,2,400,"4-LETTER WORDS","Basketball defense or Serling's twilight area","zone","1984-09-10"
1,2,600,"THE BIBLE","According to the Bible, it wasn't necessarily an apple","the forbidden fruit (or the fruit of the Tree of Knowledge)","1984-09-10"
1,2,600,"'50'S TV","Amount Michael Anthony gave out each week on behalf of John Beresford Tipton","one million dollars","1984-09-10"
1,2,600,"NATIONAL LANDMARKS","The cornerstone of Massachusetts, it bears the date 1620","Plymouth Rock","1984-09-10"
1,2,600,"NOTORIOUS","Lenin called him ruthless, and his purges proved he was","Stalin","1984-09-10"
1,2,600,"4-LETTER WORDS","Little girls do it with a rope, Van Halen does it in a song","jump","1984-09-10"
1,2,800,"THE BIBLE","Though its name means \"city of peace\", it's seen over 30 wars, the last in 1967","Jerusalem","1984-09-10"
1,2,800,"'50'S TV","His card read \"Have gun, will travel\"","Paladin (Richard Boone)","1984-09-10"
1,2,800,"NATIONAL LANDMARKS","Site where John Hancock signed his \"John Hancock\"","Independence Hall","1984-09-10"
1,2,1000,"4-LETTER WORDS","It's the first 4-letter word in \"The Star Spangled Banner\"","what","1984-09-10"
1,2,1000,"THE BIBLE","According to 1st Timothy, it is the \"root of all evil\"","the love of money","1984-09-10"
1,2,1000,"'50'S TV","Name under which experimenter Don Herbert taught viewers all about science","Mr. Wizard","1984-09-10"
1,2,1000,"NATIONAL LANDMARKS","D.C. building shaken by November '83 bomb blast","the Capitol","1984-09-10"
1,2,1000,"NOTORIOUS","After the deed, he leaped to the stage shouting \"Sic semper tyrannis\"","John Wilkes Booth","1984-09-10"
1,2,1000,"4-LETTER WORDS","The president takes one before stepping into office","oath","1984-09-10"
1,3,NULL,"HOLIDAYS","The third Monday of January starting in 1986","Martin Luther King Day","1984-09-10"
2,1,100,"STATE CAPITALS","Until 1875 its dual capitals were New Haven & Hartford","Connecticut","1984-09-11"
2,1,100,"THE '40'S","Though faster than a speeding bullet, he was ruled 4-F","Superman","1984-09-11"
2,1,100,"TRANSPORTATION","Type of auto engine, or a tomato cocktail","V8","1984-09-11"
2,1,100,"COUNTRY MUSIC","A grandma before her 30th birthday, she's the real \"Coal Miner's Daughter\"","Loretta Lynn","1984-09-11"
2,1,100,"BY THE NUMBERS","The 2 digits that give James Bond license to kill","00","1984-09-11"
2,1,200,"STATE CAPITALS","This N.M. town is the oldest city that's a state capital","Santa Fe","1984-09-11"
2,1,200,"THE '40'S","By war's end, they had banked over 13 million units of blood for plasma","the Red Cross","1984-09-11"
2,1,200,"TRANSPORTATION","Lindbergh was not first to fly the Atlantic, but first to do it this way","solo","1984-09-11"
2,1,200,"COUNTRY MUSIC","Nashville's Ryman Auditorium was its home for years","the Grand Ole Opry","1984-09-11"
2,1,200,"BY THE NUMBERS","Three Dog Night called this the loneliest number","\"One\"","1984-09-11"
2,1,300,"STATE CAPITALS","Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital","Trenton","1984-09-11"
2,1,300,"THE '40'S","Not his singing, but a lack of lunch caused fan to swoon at his Paramount Theater concert","Frank Sinatra","1984-09-11"
